"dj_id","br_id","title","published_date","view_count","like_count"
4723,"-0MoCENw8OQ","Kink Boiler Room London LIVE Show","2012-11-19",306516,2769
8294,"-2RT-McQvo0","Derek Plaslaiko Boiler Room Berlin 12 Hour DJ Set","2014-09-09",54818,591
9784,"-7ISLMC2Gk4","Tobias. Boiler Room Berlin Live Set","2014-09-08",50561,447
18442,"-AOHABbyM7Q","K15 'Bordeaux (Kaidi Tatham remix)' - Boiler Room DEBUTS","2014-06-04",16237,174
8192,"-ISMnHfY9Qs","Tropic of Cancer Boiler Room LIVE Show","2013-10-01",49053,447
14502,"-m2CmFHdkSs","Bok Bok B2B Teki Latex Boiler Room Paris DJ Set","2014-03-11",17049,106
1880,"-utJyV-3S_8","2562 \"Drumroll\" - Boiler Room Debuts","2014-10-16",6761,48
6073,"-wpPnzfrLpw","Shifted 'Under A Single Banner' - Boiler Room DEBUTS","2013-11-11",6161,49
1415,"-z1tW7yXFvk","Cosmin TRG b2b Efdemin 110 min Boiler Room Berlin DJ Set","2012-09-05",38482,309
12252,"-z1tW7yXFvk","Cosmin TRG b2b Efdemin 110 min Boiler Room Berlin DJ Set","2012-09-05",38482,309
17858,"-zr5sa2QAQk","Richy Ahmed Boiler Room Ibiza DJ Set","2014-08-29",99709,437
12258,"03Y27qBl8Js","Rone Boiler Room LIVE Show / Nuits Sonores Festival","2013-06-10",524062,3550
308,"09etK9_8vnc","Legowelt Boiler Room & Ballantine's Stay True DJ Set Poland","2014-12-02",30458,319
13599,"0EX18zMgGig","Tama Sumo Boiler Room Berlin DJ Set","2013-04-30",106232,544
15463,"0F-iTlSttQk","Young Marco Boiler Room Mix London","2012-12-10",24295,146
4142,"0OE3pwL36zk","Midland Boiler Room x Dekmantel Festival DJ Set","2015-09-15",32764,320
16276,"0QmGRIS8JqI","Adam X Boiler Room Berlin DJ Set","2013-03-11",71745,510
10657,"0R3V_0tXgxk","Pablo Valentino Boiler Room Lyon DJ set","2015-08-28",8098,110
14547,"0RIU0cy6L1I","Hunee Boiler Room x Dekmantel Festival DJ Set","2015-09-17",77928,807
18615,"0RJ6B5TjKTw","italojohnson Boiler Room Berlin DJ Set","2013-05-31",42514,327
6073,"0RRzjN9PfaE","Shifted Boiler Room DJ Set/ Nuits Sonores","2013-05-20",104692,914
3216,"0Vhghtv7yq4","Mano Le Tough 55 min Boiler Room Berlin DJ Set","2012-09-10",173498,1026
26190,"0y_0yhMOxAc","Josey Rebelle Boiler Room London Room 1 5th Birthday DJ Set","2015-12-16",1982,28
17671,"0zaRUkqzs2k","Ben UFO b2b Jackmaster b2b Oneman 3 hour Boiler Room 1st Birthday DJ Set","2012-10-31",37844,155
25315,"0zaRUkqzs2k","Ben UFO b2b Jackmaster b2b Oneman 3 hour Boiler Room 1st Birthday DJ Set","2012-10-31",37844,155
743,"17dJIJ0o2Sg","PBR Streetgang Boiler Room London DJ Set","2015-12-03",2649,49
34210,"17XTZnzHhk4","Julia Holter 'Horns Surrounding Me' Boiler Room LIVE Show","2013-12-17",9900,48
14502,"1ebudVhN-Yk","Bok Bok Boiler Room DJ Set ft. Flirta D, Rhimez & MC Shaga","2013-07-22",21297,160
1358,"1kuPnJcHcoc","Octave One \"Afterglow\" - Boiler Room Debuts","2015-04-13",7759,142
10598,"1N1Drg_ViE4","The Martinez Brothers Boiler Room NYC DJ Set","2014-05-29",115015,604
4240,"1u7oXnDBP1g","Markus Suckut Boiler Room Berlin DJ Set","2014-12-16",26510,216
